mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-06-03 12:58:29.079024128,79.47,25.02,1455.0,85.0,1142.0,81.7,903.0,89.7,20,S,2B,3413
2020-11-29 01:18:24.579023872,79.47,25.02,1655.0,11.0,1348.0,10.6,961.0,10.4,234,S,2A,3413
2021-11-22 11:58:41.579023616,79.47,25.02,1544.0,10.0,1266.0,9.9,884.0,9.3,259,S,2A,3413
2017-12-03 11:56:43.579023872,79.47,25.02,2193.0,31.0,1799.0,31.0,1254.0,31.0,300,S,2A,3413
2021-05-15 00:18:37.079024128,79.47,25.02,1487.0,21.0,1199.0,20.7,879.0,21.4,115,S,2B,3413
2020-10-28 11:58:43.579022080,79.47,25.02,1615.0,5.0,1325.0,5.1,925.0,3.7,430,S,2B,3413
2021-04-21 11:58:39.579023872,79.47,25.02,1478.0,32.0,1169.0,35.3,905.0,25.5,70,S,2A,3413
2020-06-02 12:38:39.079022080,79.47,25.02,1593.0,28.0,1297.0,30.0,925.0,23.3,120,S,2A,3413
2018-11-01 00:48:15.579023872,79.47,25.02,2054.0,8.0,1693.0,8.0,1163.0,6.4,445,S,2B,3413
2020-05-24 12:58:27.579024128,79.47,25.02,1493.0,31.0,1207.0,29.9,879.0,32.2,110,S,2A,3413
2017-11-17 01:07:17.579022080,79.47,25.02,2225.0,10.0,1830.0,9.7,1265.0,11.2,265,S,2A,3413
2021-10-14 00:08:37.579023872,79.47,25.02,1519.0,4.0,1245.0,4.4,870.0,3.6,365,S,2B,3413
2018-04-12 12:47:29.579022080,79.47,25.02,1999.0,40.0,1613.0,40.0,1180.0,39.5,39,S,2B,3413
2019-11-10 01:18:28.579022080,79.47,25.02,1822.0,10.0,1498.0,9.7,1038.0,10.0,264,S,2A,3413
2019-12-31 00:48:33.579023872,79.47,25.02,1718.0,4.0,1410.0,3.9,982.0,4.6,344,S,2A,3413
2020-12-23 00:58:25.579023872,79.47,25.02,1582.0,41.0,1282.0,41.4,927.0,41.4,224,S,2B,3413
2021-02-04 12:28:37.079024128,79.47,25.02,1548.0,33.0,1259.0,33.2,901.0,33.2,279,S,2A,3413
2021-11-30 15:04:35.057133056,79.47,25.02,1553.0,82.0,1256.0,96.6,912.0,43.5,6,S,1B,3413
2019-02-04 12:08:08.079024128,79.47,25.02,2022.0,3.0,1666.0,2.4,1145.0,3.0,350,S,2A,3413
2017-11-29 00:06:45.079024128,79.47,25.02,2215.0,14.0,1810.0,13.7,1278.0,13.1,255,S,2B,3413
2018-11-25 01:17:52.579021824,79.47,25.02,2055.0,6.0,1690.0,6.1,1169.0,6.6,415,S,2B,3413
2021-08-05 00:08:45.079022080,79.47,25.02,1944.0,41.0,1595.0,41.9,1111.0,37.9,45,S,2B,3413
2016-08-08 12:07:28.079024128,79.47,25.02,2706.0,20.0,2228.0,18.8,1535.0,22.6,90,S,2A,3413
2021-05-30 13:18:20.579023872,79.47,25.02,1487.0,42.0,1163.0,36.9,926.0,48.4,50,S,2B,3413
2018-05-05 12:06:43.579022080,79.47,25.02,1949.0,134.0,1507.0,145.3,1236.0,115.8,9,S,2B,3413
2018-12-16 00:47:53.079022080,79.47,25.02,2104.0,6.0,1729.0,6.3,1199.0,5.4,325,S,2A,3413
2018-10-19 00:37:51.579022080,79.47,25.02,2081.0,5.0,1708.0,5.1,1190.0,4.0,395,S,2A,3413
2020-12-14 23:58:44.579022336,79.47,25.02,1597.0,14.0,1297.0,12.5,932.0,17.6,224,S,2B,3413
2021-02-04 12:28:43.079022080,79.47,25.02,1549.0,33.0,1260.0,33.2,901.0,33.2,279,S,2A,3413
2021-02-01 12:18:40.579023872,79.47,25.02,1627.0,3.0,1337.0,2.7,928.0,2.6,379,S,2A,3413
2018-07-27 00:07:08.579022080,79.47,25.02,2484.0,62.0,2035.0,63.1,1425.0,58.4,35,S,2B,3413
2017-12-28 00:36:56.079024128,79.47,25.02,2148.0,9.0,1751.0,9.6,1245.0,9.1,225,S,2A,3413
2018-10-17 00:56:02.079024384,79.47,25.02,2095.0,4.0,1717.0,4.5,1200.0,4.3,345,S,2A,3413
2020-12-23 00:08:38.079024128,79.47,25.02,1567.0,9.0,1271.0,9.7,917.0,8.6,224,S,2A,3413
2018-11-02 12:27:48.579022336,79.47,25.02,2057.0,6.0,1692.0,7.0,1171.0,4.9,420,S,2B,3413
2021-01-25 12:28:44.579022080,79.47,25.02,1583.0,5.0,1292.0,4.9,914.0,5.2,339,S,2A,3413
2018-07-25 12:27:28.579022080,79.47,25.02,2244.0,24.0,1839.0,22.4,1286.0,25.6,100,S,2B,3413
2018-08-18 12:57:31.579021824,79.47,25.02,2510.0,50.0,1993.0,50.6,1526.0,48.1,20,S,2A,3413
2021-06-17 00:28:41.579022080,79.47,25.02,1479.0,49.0,1129.0,45.6,956.0,54.4,55,S,2B,3413
2019-01-14 00:27:47.579022080,79.47,25.02,2057.0,4.0,1687.0,3.6,1176.0,3.5,365,S,2B,3413
2018-12-01 12:11:36.079022080,79.47,25.02,2126.0,37.0,1734.0,37.2,1229.0,37.2,250,S,2B,3413
2020-01-14 00:28:37.579023872,79.47,25.02,1678.0,5.0,1377.0,4.7,960.0,5.0,324,S,2A,3413
2018-06-19 12:57:07.079024128,79.47,25.02,2037.0,42.0,1675.0,45.8,1158.0,33.4,79,S,2A,3413
2018-10-04 12:04:32.579022080,79.47,25.02,2088.0,4.0,1713.0,3.7,1193.0,3.4,390,S,2A,3413
2017-06-21 11:56:41.079024128,79.47,25.02,2277.0,15.0,1858.0,14.3,1315.0,15.0,150,S,2A,3413
2021-01-08 23:58:46.579022080,79.47,25.02,1571.0,10.0,1276.0,10.2,916.0,8.7,274,S,2B,3413
2020-07-04 12:28:36.579024128,79.47,25.02,1749.0,155.0,1409.0,155.1,1036.0,155.1,60,S,2B,3413
2019-06-10 13:18:25.079024128,79.47,25.02,1854.0,57.0,1455.0,55.2,1150.0,60.7,20,S,2A,3413
2021-05-11 00:38:33.079024128,79.47,25.02,1492.0,23.0,1190.0,22.8,901.0,23.9,115,S,2B,3413
2021-01-11 00:38:40.579022080,79.47,25.02,1642.0,7.0,1357.0,7.3,924.0,6.5,415,S,2B,3413
2021-01-17 12:18:38.579023872,79.47,25.02,1610.0,5.0,1318.0,4.7,924.0,5.0,339,S,2B,3413
2020-11-20 00:48:35.079021824,79.47,25.02,1590.0,7.0,1305.0,6.6,908.0,6.4,475,S,2A,3413
2021-04-30 13:18:24.079022080,79.47,25.02,1478.0,130.0,1166.0,132.3,909.0,125.1,10,S,2B,3413
