Time,Type
2021-02-20 20:00:00.000,Twist detected - sampling (re-)started
2021-02-20 20:00:00.000,Profile - downcast detected
2021-09-23 06:05:00.000,Profile - end of cast detected
2021-09-23 06:05:00.000,Profile - upcast detected
2021-09-23 11:45:00.000,Profile - end of cast detected
2021-09-23 11:45:00.000,Profile - downcast detected
2021-09-23 17:55:00.000,Profile - end of cast detected
2021-09-23 17:55:00.000,Profile - upcast detected
2021-10-06 21:45:00.000,Profile - end of cast detected
2021-10-06 21:45:00.000,Profile - downcast detected
2021-10-07 05:45:00.000,Profile - end of cast detected
2021-10-07 05:45:00.000,Profile - upcast detected
2021-10-07 08:45:00.000,Profile - end of cast detected
2021-10-07 08:45:00.000,Profile - downcast detected
2021-10-07 16:35:00.000,Profile - end of cast detected
2021-10-07 16:35:00.000,Profile - upcast detected
2021-10-16 05:15:00.000,Profile - end of cast detected
2021-10-16 05:15:00.000,Profile - downcast detected
2021-11-02 01:55:00.000,Profile - end of cast detected
2021-11-02 01:55:00.000,Profile - upcast detected
2021-11-02 09:25:00.000,Profile - end of cast detected
2021-11-02 09:25:00.000,Profile - downcast detected
2021-11-02 13:55:00.000,Profile - end of cast detected
2021-11-02 13:55:00.000,Profile - upcast detected
2021-11-02 21:00:00.000,Profile - end of cast detected
2021-11-02 21:00:00.000,Profile - downcast detected
2021-11-03 03:30:00.000,Profile - end of cast detected
2021-11-03 03:30:00.000,Profile - upcast detected
2021-11-03 08:35:00.000,Profile - end of cast detected
2021-11-03 08:35:00.000,Profile - downcast detected
2021-11-03 15:00:00.000,Profile - end of cast detected
2021-11-03 15:00:00.000,Profile - upcast detected
2021-11-03 20:55:00.000,Profile - end of cast detected
2021-11-03 20:55:00.000,Profile - downcast detected
2021-11-04 03:35:00.000,Profile - end of cast detected
2021-11-04 03:35:00.000,Profile - upcast detected
2021-11-04 09:10:00.000,Profile - end of cast detected
2021-11-04 09:10:00.000,Profile - downcast detected
2021-11-04 15:30:00.000,Profile - end of cast detected
2021-11-04 15:30:00.000,Profile - upcast detected
2021-11-04 22:10:00.000,Profile - end of cast detected
2021-11-04 22:10:00.000,Profile - downcast detected
2021-11-05 04:05:00.000,Profile - end of cast detected
2021-11-05 04:05:00.000,Profile - upcast detected
2021-11-05 10:35:00.000,Profile - end of cast detected
2021-11-05 10:35:00.000,Profile - downcast detected
2021-11-05 16:25:00.000,Profile - end of cast detected
2021-11-05 16:25:00.000,Profile - upcast detected
2021-11-05 23:40:00.000,Profile - end of cast detected
2021-11-05 23:40:00.000,Profile - downcast detected
2021-11-06 04:50:00.000,Profile - end of cast detected
2021-11-06 04:50:00.000,Profile - upcast detected
2021-11-06 10:35:00.000,Profile - end of cast detected
2021-11-06 10:35:00.000,Profile - downcast detected
2021-11-06 16:45:00.000,Profile - end of cast detected
2021-11-06 16:45:00.000,Profile - upcast detected
2021-11-06 23:30:00.000,Profile - end of cast detected
2021-11-06 23:30:00.000,Profile - downcast detected
2021-11-07 04:50:00.000,Profile - end of cast detected
2021-11-07 04:50:00.000,Profile - upcast detected
2021-11-07 12:15:00.000,Profile - end of cast detected
2021-11-07 12:15:00.000,Profile - downcast detected
2021-11-07 16:35:00.000,Profile - end of cast detected
2021-11-07 16:35:00.000,Profile - upcast detected
2021-11-10 08:30:00.000,Profile - end of cast detected
2021-11-10 09:30:00.000,Profile - downcast detected
2021-11-10 09:35:00.000,Profile - end of cast detected
2021-11-10 09:35:00.000,Profile - upcast detected
2021-11-10 10:05:00.000,Profile - end of cast detected
2021-11-10 10:05:00.000,Profile - downcast detected
2021-11-10 10:30:00.000,Profile - end of cast detected
2021-11-10 10:30:00.000,Profile - upcast detected
2021-11-10 11:15:00.000,Profile - end of cast detected
